SampleID,SiteID,Date,Alkalinity,Sample sum,Sum TDI4,TDI4,eTDI4,EQR TDI4,Class TDI4,% Planktic,% Motile,% Organic tolerant,% Saline,Comment TD14
1.57524e+006,122701,40302,124,319.00,312.00,70.79,54.14,0.51,Moderate,2.19,60.50,53.92,0.00,
1.57537e+006,122832,40317,4,336.00,336.00,20.73,17.50,0.77,Good,0.00,2.68,4.17,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.57616e+006,207309,40318,2,332.00,332.00,24.62,17.50,0.73,Good,0.00,1.81,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.57616e+006,207347,40318,14,334.00,334.00,22.75,25.13,0.83,High,0.00,0.30,0.90,0.30,
1.57634e+006,122680,40303,11,323.00,323.00,20.08,23.09,0.83,High,0.00,0.62,0.00,0.00,
1.57813e+006,8540,40284,101,691.00,319.00,63.86,50.37,0.58,Moderate,53.84,29.52,19.39,0.14,
1.57857e+006,16975,40308,19,315.00,315.00,24.22,27.98,0.84,High,0.00,0.32,0.00,0.00,
1.58053e+006,4638,40296,20,311.00,311.00,33.70,28.49,0.74,Good,0.00,14.79,9.32,2.57,
1.58055e+006,529,40276,107,315.00,315.00,74.68,51.40,0.42,Moderate,0.00,89.52,86.35,1.90,
1.58057e+006,1515,40281,68,316.00,316.00,65.59,43.82,0.49,Moderate,0.00,92.09,63.92,0.32,
1.58059e+006,3609,40317,67,312.00,311.00,51.65,43.60,0.69,Good,0.32,27.88,25.64,0.96,
1.58391e+006,122783,40323,27,365.00,362.00,26.51,31.67,0.86,High,0.00,0.27,0.27,0.00,
1.58392e+006,122766,40315,43,461.00,453.00,63.59,37.30,0.46,Moderate,1.74,19.09,19.31,2.60,
1.58393e+006,124876,40315,60,315.00,315.00,12.75,41.94,1.00,High,0.00,10.16,10.79,0.32,
1.58538e+006,123183,40316,137,396.00,396.00,46.74,56.07,0.97,High,0.00,37.12,42.93,0.25,
1.58538e+006,134707,40316,137,425.00,406.00,55.76,56.07,0.81,High,0.00,32.94,25.41,0.47,
1.58538e+006,300379,40316,186,316.00,316.00,58.67,62.44,0.88,High,0.00,47.15,34.49,6.65,
1.58539e+006,123198,40316,38,344.00,324.00,55.94,35.71,0.55,Moderate,5.81,50.00,53.78,0.00,
1.58785e+006,7651,40289,34,322.00,322.00,31.26,34.34,0.84,High,0.00,23.60,6.21,1.86,
1.5879e+006,7989,40282,110,319.00,319.00,58.24,51.90,0.69,Good,0.00,44.20,20.69,0.63,
1.58894e+006,376732,40318,40,312.00,312.00,46.28,36.36,0.68,Good,0.00,44.55,39.10,0.00,
1.63158e+006,122783,40393,32,361.00,360.00,37.88,33.62,0.75,Good,0.28,10.25,9.14,0.00,
1.63158e+006,123153,40393,7,332.00,332.00,25.05,19.70,0.75,Good,0.00,0.30,0.30,0.60,
1.66197e+006,9540,40438,51,330.00,330.00,52.01,39.61,0.64,Good,0.00,11.21,9.39,0.30,
1.66659e+006,449078,40491,8,364.00,343.00,20.15,20.64,0.80,High,5.77,1.10,0.27,0.00,
1.66661e+006,327611,40449,10,322.00,322.00,9.97,22.33,0.93,High,0.00,9.63,0.93,0.00,
1.66669e+006,200211,40456,9,345.00,345.00,20.97,21.52,0.81,High,0.00,5.22,7.25,0.58,
1.6667e+006,206778,40456,6,359.00,357.00,32.13,18.66,0.67,Good,0.00,15.60,0.00,0.00,
1.66698e+006,206930,40448,11,316.00,316.00,28.66,23.09,0.74,Good,0.00,0.00,0.00,0.00,
1.66749e+006,206971,40429,5,372.00,336.00,34.09,17.50,0.64,Good,9.41,29.84,37.37,0.00,
1.66791e+006,122818,40492,6,277.00,277.00,10.31,18.66,0.88,High,0.00,0.72,0.36,0.00,
1.66793e+006,122832,40449,9,304.00,279.00,22.08,21.52,0.79,Good,0.00,5.59,4.93,0.00,
1.668e+006,122469,40507,64,341.00,340.00,66.93,42.90,0.46,Moderate,0.29,39.30,31.38,4.99,
1.668e+006,122475,40507,80,304.00,304.00,70.31,46.40,0.44,Moderate,0.00,44.74,27.30,2.96,
1.66801e+006,122496,40497,84,305.00,302.00,64.21,47.21,0.54,Moderate,0.00,42.30,40.66,10.49,
1.66806e+006,320337,40492,56,328.00,327.00,68.54,40.93,0.43,Moderate,0.30,69.21,51.83,2.44,
1.66807e+006,122534,40497,219,309.00,308.00,80.87,66.13,0.45,Moderate,0.00,32.04,20.06,4.21,
1.66815e+006,206845,40450,6,375.00,375.00,7.60,18.66,0.91,High,0.00,1.33,0.53,0.00,
1.66815e+006,207298,40451,4,317.00,317.00,5.73,17.50,0.91,High,0.00,1.89,0.63,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.66903e+006,127100,40492,64,310.00,282.00,63.93,42.90,0.51,Moderate,0.65,65.16,60.97,0.00,
1.66903e+006,118688,40508,117,318.00,318.00,68.63,53.04,0.53,Moderate,0.00,34.91,37.42,0.31,
1.66904e+006,122748,40508,102,326.00,326.00,77.80,50.54,0.36,Poor,0.00,60.12,54.60,0.61,
1.66907e+006,122757,40498,111,188.00,175.00,59.00,52.07,0.68,Good,6.91,48.94,47.87,3.72,
1.66981e+006,207309,40462,1,342.00,342.00,7.19,17.50,0.90,High,0.00,0.29,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.66981e+006,207347,40464,14,386.00,386.00,32.02,25.13,0.73,Good,0.00,0.00,0.00,0.00,
1.67005e+006,376732,40436,38,323.00,323.00,50.87,35.71,0.61,Good,0.00,38.39,28.48,1.24,
1.67015e+006,207402,40471,48,322.00,321.00,53.08,38.77,0.61,Good,0.31,15.22,17.39,0.31,
1.67143e+006,205682,40462,57,320.00,320.00,54.95,41.19,0.61,Good,0.00,31.56,28.75,2.19,
1.67146e+006,232926,40463,37,320.00,320.00,62.70,35.38,0.46,Moderate,0.00,69.69,54.06,0.31,
1.67296e+006,3415,40455,113,331.00,324.00,70.09,52.40,0.50,Moderate,2.11,21.75,5.14,0.30,
1.67344e+006,207189,40459,32,333.00,333.00,53.96,33.62,0.55,Moderate,0.00,25.83,22.52,0.00,
1.67526e+006,3806,40458,130,322.00,322.00,68.42,55.05,0.56,Moderate,0.00,13.98,21.12,0.00,
1.68131e+006,4276,40443,71,322.00,321.00,57.18,44.50,0.62,Good,0.31,23.91,20.50,0.93,
1.68219e+006,7651,40476,30,305.00,305.00,36.02,32.86,0.76,Good,0.00,5.25,3.61,0.98,
1.68221e+006,7989,40442,117,320.00,318.00,61.18,53.04,0.66,Good,0.63,24.06,13.44,1.56,
1.6823e+006,16975,40505,19,315.00,315.00,26.73,27.98,0.81,High,0.00,1.90,0.63,0.32,
1.68328e+006,8455,40465,45,316.00,316.00,30.25,37.90,0.90,High,0.00,0.95,0.95,0.00,
1.68329e+006,8801,40442,17,327.00,327.00,23.04,26.91,0.84,High,0.00,0.00,0.00,0.31,
1.68329e+006,8811,40442,30,320.00,320.00,40.21,32.86,0.71,Good,0.00,34.69,31.88,5.00,
1.6833e+006,345954,40434,24,325.00,321.00,29.77,30.38,0.81,High,0.62,7.38,5.85,1.85,
1.68331e+006,3609,40449,71,313.00,312.00,49.26,44.50,0.73,Good,0.32,13.74,7.67,2.24,
1.68332e+006,1515,40449,70,313.00,313.00,64.33,44.27,0.51,Moderate,0.00,28.12,20.77,0.00,
1.68335e+006,529,40445,99,320.00,318.00,71.02,50.02,0.46,Moderate,0.63,33.44,31.25,9.38,
1.68336e+006,4638,40431,23,320.00,316.00,44.30,29.93,0.64,Good,1.25,21.88,16.25,4.69,
1.68746e+006,122924,40470,65,316.00,316.00,29.14,43.13,1.00,High,0.00,6.65,5.70,0.00,
1.68758e+006,122783,40466,32,427.00,427.00,32.92,33.62,0.81,High,0.00,12.18,11.48,1.87,
1.6876e+006,122766,40508,43,372.00,363.00,55.17,37.30,0.57,Moderate,1.88,43.55,39.25,0.54,
1.68761e+006,124876,40466,67,361.00,361.00,60.75,43.60,0.56,Moderate,0.00,59.00,56.51,2.22,
1.68778e+006,123172,40507,10,347.00,347.00,32.26,22.33,0.70,Good,0.00,1.73,1.44,1.44,
1.68778e+006,123153,40466,7,384.00,374.00,22.05,19.70,0.78,Good,0.00,0.52,0.52,0.78,
1.68783e+006,122783,40466,32,427.00,427.00,32.92,33.62,0.81,High,0.00,12.18,11.48,1.87,
1.68783e+006,123153,40393,7,331.00,331.00,25.12,19.70,0.75,Good,0.00,0.30,0.30,0.60,
1.68785e+006,134707,40514,156,328.00,323.00,31.59,58.69,1.00,High,0.61,12.20,11.89,0.61,
1.68785e+006,300379,40514,210,354.00,352.00,53.27,65.16,1.00,High,0.00,37.01,21.75,0.28,
1.68789e+006,123096,40469,73,315.00,311.00,59.05,44.93,0.59,Moderate,1.27,26.98,10.79,0.63,
1.7175e+006,122783,40323,27,365.00,362.00,26.51,31.67,0.86,High,0.00,0.27,0.27,0.00,
1.71751e+006,123153,40281,4,382.00,382.00,26.41,17.50,0.71,Good,0.00,0.00,0.26,0.26,"Alkalinity < 5, value set to 5 mg/l"
1.79445e+006,7651,40648,29,363.00,363.00,36.93,32.47,0.75,Good,0.00,14.60,10.19,0.00,
1.79446e+006,7989,40653,114,351.00,351.00,42.61,52.56,0.97,High,0.00,15.10,8.83,0.57,
1.79447e+006,8540,40654,111,258.00,243.00,64.18,52.07,0.60,Moderate,5.81,73.26,65.89,2.33,
1.79451e+006,8455,40652,36,532.00,532.00,44.49,35.04,0.68,Good,0.00,21.80,18.42,0.00,
1.79451e+006,8801,40653,17,373.00,369.00,25.18,26.91,0.82,High,1.07,0.54,0.00,0.00,
1.79452e+006,8811,40653,28,364.00,364.00,29.34,32.07,0.83,High,0.00,10.44,7.69,0.55,
1.79494e+006,123153,40644,8,312.00,312.00,19.21,20.64,0.81,High,0.00,0.32,0.32,0.96,
1.79505e+006,123172,40693,8,355.00,353.00,26.23,20.64,0.74,Good,0.56,4.51,1.13,0.00,
1.79849e+006,9540,40647,39,326.00,326.00,46.21,36.04,0.67,Good,0.00,25.77,22.70,0.00,
1.79857e+006,206971,40667,6,357.00,355.00,23.96,18.66,0.75,Good,0.56,2.24,2.80,0.00,
1.80006e+006,3415,40676,108,379.00,332.00,53.74,51.57,0.76,Good,12.40,33.25,22.43,0.79,
1.80097e+006,122818,40666,5,326.00,326.00,25.81,17.50,0.72,Good,0.00,0.00,0.61,0.00,
1.80098e+006,122832,40688,10,322.00,322.00,22.07,22.33,0.80,High,0.00,0.31,0.00,0.00,
1.8011e+006,118688,40667,117,305.00,305.00,58.97,53.04,0.70,Good,0.00,83.93,84.26,3.61,
1.80111e+006,122748,40667,80,319.00,296.00,61.11,46.40,0.58,Moderate,7.21,56.11,41.07,2.51,
1.80111e+006,122757,40667,81,336.00,334.00,67.07,46.61,0.49,Moderate,0.60,52.98,50.00,0.89,
1.80111e+006,127100,40652,54,379.00,379.00,53.02,40.41,0.63,Good,0.00,47.76,40.63,0.00,
1.80142e+006,16975,40660,17,338.00,338.00,23.00,26.91,0.84,High,0.00,1.78,1.78,0.59,
1.80143e+006,345954,40652,19,340.00,337.00,27.56,27.98,0.80,High,0.88,0.88,0.29,1.76,
1.80145e+006,3609,40669,70,311.00,310.00,45.98,44.27,0.78,Good,0.32,44.37,30.87,4.82,
1.80146e+006,1515,40665,68,331.00,331.00,54.93,43.82,0.64,Good,0.00,25.98,24.77,0.00,
1.80149e+006,529,40675,103,336.00,332.00,76.66,50.72,0.38,Poor,1.19,56.25,54.46,2.98,
1.8015e+006,4638,40669,22,451.00,447.00,59.71,29.47,0.46,Moderate,0.89,55.88,43.90,6.21,
1.80158e+006,206845,40700,6,349.00,349.00,17.34,18.66,0.81,High,0.00,0.29,0.29,0.00,
1.80159e+006,207298,40700,4,313.00,313.00,6.88,17.50,0.90,High,0.00,0.00,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.80245e+006,200211,40701,7,364.00,336.00,13.56,19.70,0.86,High,7.14,3.30,4.40,0.00,
1.80246e+006,206778,40660,5,365.00,345.00,14.23,17.50,0.83,High,0.00,1.10,3.01,0.00,
1.80249e+006,449078,40674,9,365.00,351.00,23.73,21.52,0.78,Good,1.64,1.64,1.10,0.00,
1.80251e+006,327611,40661,7,358.00,356.00,19.52,19.70,0.80,High,0.00,1.40,0.84,0.28,
1.8038e+006,4276,40683,71,332.00,331.00,54.39,44.50,0.66,Good,0.30,27.71,22.59,0.90,
1.80384e+006,3806,40672,109,340.00,340.00,68.83,51.74,0.52,Moderate,0.00,17.35,28.53,0.00,
1.80391e+006,207309,40652,1,376.00,376.00,21.36,17.50,0.76,Good,0.00,0.80,1.60,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.80391e+006,207347,40667,14,327.00,327.00,26.05,25.13,0.79,Good,0.00,0.00,1.53,0.61,
1.80407e+006,207402,40676,49,323.00,323.00,60.39,39.05,0.52,Moderate,0.00,69.97,70.59,0.00,
1.80416e+006,122783,40668,35,334.00,334.00,30.90,34.69,0.85,High,0.00,2.40,2.99,0.00,
1.80417e+006,123096,40694,65,302.00,302.00,37.01,43.13,0.89,High,0.00,21.52,18.54,0.33,
1.80511e+006,122534,40679,204,343.00,342.00,58.63,64.50,0.93,High,0.29,38.48,37.03,0.29,
1.80511e+006,320337,40667,60,354.00,352.00,54.62,41.94,0.63,Good,0.56,38.42,38.14,0.00,
1.80627e+006,206930,40668,12,361.00,361.00,24.81,23.81,0.79,Good,0.00,0.55,7.76,0.00,
1.80683e+006,122924,40666,64,416.00,416.00,52.46,42.90,0.67,Good,0.00,23.08,16.83,0.24,
1.80811e+006,205682,40675,58,321.00,321.00,36.37,41.44,0.87,High,0.00,21.81,21.81,0.00,
1.80813e+006,232926,40675,38,324.00,324.00,58.60,35.71,0.52,Moderate,0.00,76.54,71.60,0.00,
1.80997e+006,122766,40668,43,277.00,276.00,55.65,37.30,0.57,Moderate,0.00,44.40,32.13,0.36,
1.80998e+006,124876,40668,56,403.00,402.00,50.06,40.93,0.68,Good,0.25,40.69,35.24,1.49,
1.80998e+006,122783,40668,35,334.00,334.00,30.90,34.69,0.85,High,0.00,2.40,2.99,0.00,
1.81149e+006,122469,40674,64,293.00,293.00,61.77,42.90,0.54,Moderate,0.00,71.67,49.15,1.02,
1.81149e+006,122475,40679,73,316.00,306.00,67.76,44.93,0.47,Moderate,3.16,57.28,47.15,0.00,
1.8115e+006,122496,40674,75,328.00,328.00,57.58,45.36,0.62,Good,0.00,42.68,38.11,0.30,
1.81749e+006,376732,40680,35,327.00,325.00,48.08,34.69,0.64,Good,0.00,44.65,37.31,0.00,
1.81753e+006,207189,40683,35,375.00,375.00,53.65,34.69,0.57,Moderate,0.00,54.93,45.60,0.80,
1.81883e+006,134707,40683,139,390.00,390.00,39.90,56.36,1.00,High,0.00,6.92,5.38,0.00,
1.81883e+006,300379,40683,183,345.00,344.00,41.43,62.08,1.00,High,0.29,15.36,15.36,0.00,
1.81911e+006,123055,40683,125,332.00,332.00,43.32,54.29,0.99,High,0.00,23.49,19.28,0.00,
1.87598e+006,9540,40815,46,332.00,332.00,42.93,38.19,0.74,Good,0.00,8.73,6.63,0.00,
1.87906e+006,122766,40773,43,343.00,338.00,31.11,37.30,0.88,High,0.29,14.58,9.04,7.87,
1.88969e+006,449078,40843,9,346.00,344.00,23.39,21.52,0.78,Good,0.00,0.58,0.00,0.00,
1.88971e+006,327611,40836,6,350.00,350.00,14.46,18.66,0.84,High,0.00,1.14,0.00,0.00,
1.88981e+006,200211,40855,9,351.00,351.00,30.85,21.52,0.70,Good,0.00,31.05,30.48,0.00,
1.88982e+006,206778,40855,10,326.00,326.00,16.27,22.33,0.86,High,0.00,5.83,4.29,0.00,
1.88993e+006,206971,40843,6,377.00,353.00,29.08,18.66,0.70,Good,6.10,16.45,17.51,0.27,
1.88995e+006,206845,40851,5,330.00,323.00,12.07,17.50,0.85,High,0.00,1.82,1.21,0.00,
1.88996e+006,207298,40814,5,353.00,353.00,3.53,17.50,0.94,High,0.00,1.13,0.57,0.00,
1.89004e+006,206930,40822,13,353.00,353.00,18.24,24.49,0.87,High,0.00,1.42,0.57,1.42,
1.89111e+006,207309,40792,1,336.00,336.00,16.75,17.50,0.81,High,0.00,0.89,1.79,0.00,"Alkalinity < 5, value set to 5 mg/l"
1.89111e+006,207347,40793,14,362.00,362.00,27.98,25.13,0.77,Good,0.00,0.00,6.08,0.55,
1.89173e+006,8540,40844,112,337.00,330.00,70.59,52.23,0.49,Moderate,0.89,56.97,32.05,0.00,
1.89178e+006,345954,40863,22,340.00,340.00,27.15,29.47,0.83,High,0.00,0.59,0.59,0.00,
1.89181e+006,529,40815,96,372.00,343.00,68.75,49.48,0.49,Moderate,7.80,13.17,9.41,2.96,
1.89304e+006,8455,40815,35,330.00,330.00,28.40,34.69,0.88,High,0.00,1.21,1.21,0.00,
1.89306e+006,8801,40833,20,324.00,324.00,24.57,28.49,0.84,High,0.00,0.00,0.00,0.00,
1.89307e+006,8811,40863,33,322.00,322.00,39.09,33.98,0.74,Good,0.00,23.91,22.05,1.86,
1.89308e+006,16975,40800,18,346.00,344.00,30.46,27.46,0.77,Good,0.00,4.05,1.73,0.00,
1.8931e+006,3609,40854,64,339.00,339.00,48.63,42.90,0.72,Good,0.00,0.88,0.59,0.00,
1.89312e+006,1515,40814,79,322.00,322.00,50.36,46.20,0.74,Good,0.00,5.59,4.35,1.24,
1.89314e+006,4638,40863,20,342.00,342.00,39.20,28.49,0.68,Good,0.00,23.10,4.09,0.29,
1.89323e+006,7651,40814,31,337.00,337.00,63.12,33.24,0.44,Moderate,0.00,13.65,12.76,7.72,
1.89324e+006,7989,40800,111,377.00,377.00,53.51,52.07,0.78,Good,0.00,3.18,0.00,0.00,
1.89344e+006,122832,40875,6,324.00,324.00,12.31,18.66,0.86,High,0.00,33.33,0.31,0.00,
1.8975e+006,118688,40841,117,246.00,246.00,64.61,53.04,0.60,Good,0.00,33.74,30.08,0.00,
1.89751e+006,122748,40841,87,312.00,312.00,73.13,47.79,0.41,Moderate,0.00,94.87,92.31,0.00,
1.89752e+006,127100,40844,67,376.00,375.00,58.27,43.60,0.59,Moderate,0.27,50.00,43.62,1.86,
1.89754e+006,122534,40816,194,320.00,320.00,67.77,63.37,0.70,Good,0.00,23.13,16.56,0.00,
1.89754e+006,320337,40854,60,370.00,368.00,63.36,41.94,0.50,Moderate,0.54,37.84,28.38,0.81,
1.89757e+006,122475,40869,64,281.00,278.00,74.56,42.90,0.36,Poor,1.07,63.70,46.62,0.36,
1.90019e+006,205682,40821,58,326.00,326.00,62.30,41.44,0.52,Moderate,0.00,64.11,61.04,0.92,
1.90021e+006,232926,40829,39,367.00,367.00,61.92,36.04,0.48,Moderate,0.00,66.49,57.49,0.00,
1.90023e+006,207402,40836,47,368.00,364.00,49.77,38.48,0.65,Good,1.09,41.03,54.35,1.36,
1.90039e+006,376732,40849,34,341.00,341.00,47.35,34.34,0.64,Good,0.00,46.92,40.47,2.64,
1.90044e+006,207189,40809,36,348.00,348.00,50.32,35.04,0.61,Good,0.00,28.45,27.87,2.01,
1.90049e+006,207255,40844,45,307.00,307.00,51.39,37.90,0.63,Good,0.00,24.43,16.94,1.30,
1.9034e+006,4103,40806,218,330.00,330.00,67.35,66.02,0.77,Good,0.00,44.85,35.45,23.03,
1.91241e+006,4276,40841,71,330.00,330.00,68.17,44.50,0.46,Moderate,0.00,46.67,27.58,0.00,
1.91245e+006,3806,40813,99,331.00,331.00,57.21,50.02,0.68,Good,0.00,18.73,27.49,0.30,
1.91261e+006,3415,40830,111,389.00,381.00,63.56,52.07,0.61,Good,2.06,31.62,9.25,0.00,
1.91342e+006,123055,40816,125,463.00,463.00,45.10,54.29,0.96,High,0.00,4.97,6.48,0.00,
1.91676e+006,122766,40856,43,372.00,372.00,75.94,37.30,0.31,Poor,0.00,74.73,50.81,0.00,
1.91677e+006,124876,40856,60,307.00,307.00,66.89,41.94,0.46,Moderate,0.00,35.18,27.04,2.28,
1.91678e+006,122783,40856,30,320.00,320.00,28.48,32.86,0.85,High,0.00,5.00,1.88,0.00,
2.01069e+006,122766,41030,43,431.00,429.00,55.37,37.30,0.57,Moderate,0.46,43.85,38.75,7.19,
2.01069e+006,124876,41030,54,490.00,490.00,50.80,40.41,0.66,Good,0.00,49.18,38.98,0.61,
2.02153e+006,200211,41058,9,334.00,330.00,22.20,21.52,0.79,Good,0.00,11.08,20.66,0.30,
2.02154e+006,206778,41058,8,344.00,344.00,13.69,20.64,0.87,High,0.00,1.45,0.58,0.00,
2.0217e+006,449078,41023,10,319.00,319.00,25.11,22.33,0.77,Good,0.00,0.31,0.00,0.00,
2.02172e+006,327611,41011,5,336.00,334.00,21.08,17.50,0.77,Good,0.00,0.89,0.60,0.30,
2.02752e+006,206809,41032,10,315.00,315.00,22.06,22.33,0.80,High,0.00,0.00,0.00,0.00,
2.02752e+006,206971,41019,6,318.00,318.00,22.44,18.66,0.76,Good,0.00,4.72,3.77,0.00,
2.02754e+006,232722,41032,6,392.00,392.00,9.36,18.66,0.89,High,0.00,0.51,0.00,1.02,
2.02755e+006,206845,41030,5,422.00,422.00,24.12,17.50,0.74,Good,0.00,0.00,0.00,0.00,
2.02755e+006,207298,41030,4,331.00,330.00,8.19,17.50,0.89,High,0.30,2.11,0.91,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.02771e+006,7641,41044,13,345.00,345.00,25.62,24.49,0.79,Good,0.00,0.87,0.00,0.00,
2.02771e+006,7651,41044,34,369.00,369.00,30.82,34.34,0.84,High,0.00,10.03,7.32,2.98,
2.02772e+006,7935,41031,131,365.00,363.00,48.23,55.19,0.92,High,0.55,30.68,32.33,0.00,
2.02772e+006,7957,41031,100,358.00,354.00,89.72,50.19,0.17,Bad,0.56,27.93,26.26,0.00,
2.02773e+006,7989,41045,120,470.00,470.00,68.36,53.52,0.54,Moderate,0.00,30.21,21.70,0.43,
2.02773e+006,8540,41050,116,338.00,338.00,42.51,52.88,0.98,High,0.00,21.01,15.09,0.30,
2.02803e+006,122680,41012,13,306.00,306.00,22.92,24.49,0.82,High,0.00,0.00,12.09,0.00,
2.02948e+006,122832,41047,4,349.00,349.00,17.38,17.50,0.80,High,0.00,0.00,0.00,0.00,"Alkalinity < 5, value set to 5 mg/l"
2.02976e+006,206930,41012,12,373.00,373.00,25.68,23.81,0.78,Good,0.00,0.00,0.00,0.00,
2.02994e+006,118688,41011,117,317.00,317.00,66.26,53.04,0.57,Moderate,0.00,68.14,65.30,0.00,
2.02996e+006,122701,41015,117,282.00,282.00,64.77,53.04,0.60,Good,0.00,55.67,48.58,0.00,
2.02996e+006,122721,41022,6,393.00,393.00,10.83,18.66,0.88,High,0.00,0.76,0.00,0.00,
2.02997e+006,122748,41011,82,295.00,295.00,66.13,46.81,0.51,Moderate,0.00,87.12,73.56,0.00,
2.02997e+006,127100,41018,64,186.00,186.00,34.77,42.90,0.91,High,0.00,25.81,23.12,1.08,
