Type,SampleID,SiteID,Date,Taxon Code,Taxon name,Abundance,Alkalinity
R,1550753,206971,16/04/2010,PI022A,Pinnularia subcapitata,1,6
R,1550753,206971,16/04/2010,CM018A,Cymbella gracilis,1,6
R,1550753,206971,16/04/2010,EU070A,Eunotia bilunaris,3,6
R,1550753,206971,16/04/2010,FR009A,Fragilaria capucina,8,6
R,1550753,206971,16/04/2010,ZZZ949,Psammothidium subatomoides,5,6
R,1550753,206971,16/04/2010,FR007A,Fragilaria vaucheriae,16,6
R,1550753,206971,16/04/2010,GO013C,Gomphonema parvulum var. exilissimum,1,6
R,1550753,206971,16/04/2010,AC9999,Achnanthes sp.,4,6
R,1550753,206971,16/04/2010,BR010A,Brachysira neoexilis,3,6
R,1550753,206971,16/04/2010,NA023A,Navicula gregaria,1,6
R,1550753,206971,16/04/2010,GO004A,Gomphonema gracile,1,6
R,1550753,206971,16/04/2010,CM050A,Cymbella subaequalis,1,6
R,1550753,206971,16/04/2010,NA003A,Navicula radiosa,1,6
R,1550753,206971,16/04/2010,EU002A,Eunotia pectinalis,3,6
R,1550753,206971,16/04/2010,EU107A,Eunotia implicata,5,6
R,1550753,206971,16/04/2010,NA042A,Navicula minima,46,6
R,1550753,206971,16/04/2010,CM004A,Cymbella microcephala,1,6
R,1550753,206971,16/04/2010,SY009A,Synedra nana,1,6
R,1550753,206971,16/04/2010,DT022A,Diatoma moniliformis,10,6
R,1550753,206971,16/04/2010,EU047A,Eunotia incisa,5,6
R,1550753,206971,16/04/2010,CO001B,Cocconeis placentula var. euglypta,1,6
R,1550753,206971,16/04/2010,GO013A,Gomphonema parvulum,11,6
R,1550753,206971,16/04/2010,TA001A,Tabellaria flocculosa,3,6
R,1550753,206971,16/04/2010,EY011A,Encyonema minutum,4,6
R,1550753,206971,16/04/2010,ZZZ835,Achnanthidium minutissimum type,191,6
R,1551492,207402,27/04/2010,NA042A,Navicula minima,2,43
R,1551492,207402,27/04/2010,NI152A,Nitzschia pusilla,1,43
R,1551492,207402,27/04/2010,MR001A,Meridion circulare,17,43
R,1551492,207402,27/04/2010,GO003A,Gomphonema angustatum,2,43
R,1551492,207402,27/04/2010,SA012A,Stauroneis kriegeri,1,43
R,1551492,207402,27/04/2010,AC143A,Achnanthes oblongella,2,43
R,1551492,207402,27/04/2010,GO013A,Gomphonema parvulum,2,43
R,1551492,207402,27/04/2010,ZZZ982,Navicula claytonii,50,43
R,1551492,207402,27/04/2010,NA023A,Navicula gregaria,15,43
R,1551492,207402,27/04/2010,DT021A,Diatoma mesodon,3,43
R,1551492,207402,27/04/2010,SY001A,Synedra ulna,2,43
R,1551492,207402,27/04/2010,NI015A,Nitzschia dissipata,2,43
R,1551492,207402,27/04/2010,FU001A,Frustulia vulgaris,1,43
R,1551492,207402,27/04/2010,FR026A,Fragilaria bidens,4,43
R,1551492,207402,27/04/2010,ZZZ835,Achnanthidium minutissimum type,1,43
R,1551492,207402,27/04/2010,NA080A,Navicula slesvicensis,1,43
R,1551492,207402,27/04/2010,ZZZ896,Planothidium frequentissimum,6,43
R,1551492,207402,27/04/2010,SU073A,Surirella brebissonii,8,43
R,1551492,207402,27/04/2010,ZZZ897,Planothidium lanceolatum,3,43
R,1551492,207402,27/04/2010,FR009A,Fragilaria capucina,1,43
R,1551492,207402,27/04/2010,NI009A,Nitzschia palea,1,43
R,1551492,207402,27/04/2010,NA009A,Navicula lanceolata,112,43
R,1551492,207402,27/04/2010,NA042A,Navicula minima,5,43
R,1551492,207402,27/04/2010,FR002A,Fragilaria construens,3,43
R,1551492,207402,27/04/2010,DT003A,Diatoma vulgare,1,43
R,1551492,207402,27/04/2010,FR007A,Fragilaria vaucheriae,27,43
R,1551492,207402,27/04/2010,RE001A,Reimeria sinuata,5,43
R,1551492,207402,27/04/2010,FR9999,Fragilaria sp.,1,43
R,1551492,207402,27/04/2010,GM002A,Gomphoneis olivaceoides,23,43
R,1551492,207402,27/04/2010,NI048A,Nitzschia tubicola,2,43
R,1554408,205367,20/05/2010,ZZZ835,Achnanthidium minutissimum type,75,167
R,1554408,205367,20/05/2010,DT004A,Diatoma tenue,4,167
R,1554408,205367,20/05/2010,NI009A,Nitzschia palea,55,167
R,1554408,205367,20/05/2010,SU073A,Surirella brebissonii,5,167
R,1554408,205367,20/05/2010,MR001A,Meridion circulare,8,167
R,1554408,205367,20/05/2010,FR009H,Fragilaria capucina var. gracilis,4,167
R,1554408,205367,20/05/2010,FR009A,Fragilaria capucina,44,167
R,1554408,205367,20/05/2010,ZZZ982,Navicula claytonii,2,167
R,1554408,205367,20/05/2010,NA042A,Navicula minima,2,167
R,1554408,205367,20/05/2010,GO003A,Gomphonema angustatum,1,167
R,1554408,205367,20/05/2010,NA023A,Navicula gregaria,81,167
R,1554408,205367,20/05/2010,NI152A,Nitzschia pusilla,2,167
R,1554408,205367,20/05/2010,NI048A,Nitzschia tubicola,1,167
R,1554408,205367,20/05/2010,NI031A,Nitzschia linearis,3,167
R,1554408,205367,20/05/2010,EY016A,Encyonema silesiacum,1,167
R,1554408,205367,20/05/2010,ZZZ941,Diatoma problematica,2,167
R,1554408,205367,20/05/2010,SY001A,Synedra ulna,3,167
R,1554408,205367,20/05/2010,NA009A,Navicula lanceolata,12,167
R,1554408,205367,20/05/2010,GO006A,Gomphonema acuminatum,1,167
R,1554538,123172,21/05/2010,AC001R,Achnanthes lanceolata subsp. frequentissima,2,6
R,1554538,123172,21/05/2010,ZZZ986,Cocconeis placentula var. pseudolineata,4,6
R,1554538,123172,21/05/2010,ZZZ835,Achnanthidium minutissimum type,230,6
R,1554538,123172,21/05/2010,MR001A,Meridion circulare,1,6
R,1554538,123172,21/05/2010,GO013C,Gomphonema parvulum var. exilissimum,28,6
R,1554538,123172,21/05/2010,AC143A,Achnanthes oblongella,2,6
R,1554538,123172,21/05/2010,NI009A,Nitzschia palea,1,6
R,1554538,123172,21/05/2010,DT004A,Diatoma tenue,6,6
R,1554538,123172,21/05/2010,AC049A,Achnanthes ploenensis,1,6
R,1554538,123172,21/05/2010,SY001A,Synedra ulna,20,6
R,1554538,123172,21/05/2010,SS002A,Staurosirella pinnata,1,6
R,1554538,123172,21/05/2010,FR009A,Fragilaria capucina,13,6
R,1554538,123172,21/05/2010,FR007A,Fragilaria vaucheriae,1,6
R,1554538,123172,21/05/2010,NA023A,Navicula gregaria,1,6
R,1554538,123172,21/05/2010,GO050A,Gomphonema minutum,1,6
R,1554538,123172,21/05/2010,EY9999,Encyonema sp.,1,6
R,1554538,123172,21/05/2010,FR026A,Fragilaria bidens,3,6
R,1554538,123172,21/05/2010,EU9999,Eunotia sp.,1,6
R,1554552,123153,13/04/2010,GO052A,Gomphonema olivaceoides,19,4
R,1554552,123153,13/04/2010,YH001A,Ctenophora pulchella,1,4
R,1554552,123153,13/04/2010,FR009A,Fragilaria capucina,2,4
R,1554552,123153,13/04/2010,EY9999,Encyonema sp.,8,4
R,1554552,123153,13/04/2010,FR007A,Fragilaria vaucheriae,12,4
R,1554552,123153,13/04/2010,ZZZ835,Achnanthidium minutissimum type,242,4
R,1554552,123153,13/04/2010,EY016A,Encyonema silesiacum,15,4
R,1554552,123153,13/04/2010,TA001A,Tabellaria flocculosa,11,4
R,1554552,123153,13/04/2010,GO050A,Gomphonema minutum,1,4
R,1554552,123153,13/04/2010,AC9999,Achnanthes sp.,3,4
R,1554552,123153,13/04/2010,EY011A,Encyonema minutum,17,4
R,1554552,123153,13/04/2010,GO013C,Gomphonema parvulum var. exilissimum,5,4
R,1554552,123153,13/04/2010,FR009H,Fragilaria capucina var. gracilis,2,4
R,1554552,123153,13/04/2010,GO004A,Gomphonema gracile,5,4
R,1554552,123153,13/04/2010,GO013A,Gomphonema parvulum,1,4
R,1554552,123153,13/04/2010,MR001A,Meridion circulare,1,4
R,1554552,123153,13/04/2010,HN001A,Hannaea arcus,21,4
R,1554552,123153,13/04/2010,GO9999,Gomphonema sp.,7,4
R,1554552,123153,13/04/2010,GM001A,Gomphoneis olivaceum,9,4
R,1554708,320337,18/05/2010,AM012A,Amphora pediculus,6,54
R,1554708,320337,18/05/2010,NA009A,Navicula lanceolata,5,54
R,1554708,320337,18/05/2010,EY015A,Encyonema reichardtii,33,54
R,1554708,320337,18/05/2010,AC163A,Achnanthes helvetica,1,54
R,1554708,320337,18/05/2010,ZZZ897,Planothidium lanceolatum,1,54
R,1554708,320337,18/05/2010,EY011A,Encyonema minutum,1,54
R,1554708,320337,18/05/2010,NI015A,Nitzschia dissipata,8,54
R,1554708,320337,18/05/2010,NA042A,Navicula minima,2,54
R,1554708,320337,18/05/2010,FR009H,Fragilaria capucina var. gracilis,2,54
R,1554708,320337,18/05/2010,NA023A,Navicula gregaria,29,54
R,1554708,320337,18/05/2010,NA617A,Navicula saprophila,94,54
R,1554708,320337,18/05/2010,ZZZ835,Achnanthidium minutissimum type,1,54
R,1554708,320337,18/05/2010,DT004A,Diatoma tenue,1,54
R,1554708,320337,18/05/2010,CO001B,Cocconeis placentula var. euglypta,7,54
R,1554708,320337,18/05/2010,ZZZ959,Achnanthidium minutissimum,19,54
R,1554708,320337,18/05/2010,ZZZ982,Navicula claytonii,30,54
R,1554708,320337,18/05/2010,GO080A,Gomphonema pumilum,3,54
R,1554708,320337,18/05/2010,RE001A,Reimeria sinuata,55,54
R,1554708,320337,18/05/2010,GO001A,Gomphonema olivaceum,5,54
R,1554708,320337,18/05/2010,NA433A,Navicula ignota,1,54
R,1554708,320337,18/05/2010,GO052A,Gomphonema olivaceoides,8,54
R,1554708,320337,18/05/2010,GO013A,Gomphonema parvulum,2,54
R,1554708,320337,18/05/2010,ZZZ941,Diatoma problematica,1,54
R,1554708,320337,18/05/2010,NI009A,Nitzschia palea,2,54
R,1554708,320337,18/05/2010,NI033A,Nitzschia paleacea,2,54
R,1554708,320337,18/05/2010,NA054A,Navicula veneta,1,54
R,1554708,320337,18/05/2010,ACHD-02,Achnanthidium pyrenaicum,1,54
R,1554719,122534,11/05/2010,ZZZ982,Navicula claytonii,11,186
R,1554719,122534,11/05/2010,CO001B,Cocconeis placentula var. euglypta,19,186
R,1554719,122534,11/05/2010,ZZZ897,Planothidium lanceolatum,9,186
R,1554719,122534,11/05/2010,CA002A,Caloneis bacillum,1,186
R,1554719,122534,11/05/2010,NA023A,Navicula gregaria,132,186
R,1554719,122534,11/05/2010,RC002A,Rhoicosphenia abbreviata,7,186
R,1554719,122534,11/05/2010,NA009A,Navicula lanceolata,151,186
R,1554719,122534,11/05/2010,GO003A,Gomphonema angustatum,3,186
R,1554719,122534,11/05/2010,ZZZ896,Planothidium frequentissimum,4,186
R,1554719,122534,11/05/2010,NI008A,Nitzschia frustulum,1,186
R,1554719,122534,11/05/2010,NA095A,Navicula tripunctata,10,186
R,1554719,122534,11/05/2010,CI002A,Craticula accomoda,1,186
R,1554719,122534,11/05/2010,NI152A,Nitzschia pusilla,4,186
R,1554719,122534,11/05/2010,NI033A,Nitzschia paleacea,47,186
R,1554719,122534,11/05/2010,GO001A,Gomphonema olivaceum,98,186
R,1554719,122534,11/05/2010,GO001F,Gomphonema olivaceum var. olivaceoides,3,186
R,1554719,122534,11/05/2010,EY015A,Encyonema reichardtii,2,186
R,1554719,122534,11/05/2010,DT022A,Diatoma moniliformis,5,186
R,1554719,122534,11/05/2010,ZZZ835,Achnanthidium minutissimum type,37,186
R,1554719,122534,11/05/2010,RE001A,Reimeria sinuata,3,186
R,1554719,122534,11/05/2010,FR007A,Fragilaria vaucheriae,10,186
R,1554719,122534,11/05/2010,NI042A,Nitzschia acicularis,3,186
R,1554719,122534,11/05/2010,NI009A,Nitzschia palea,28,186
R,1554719,122534,11/05/2010,NI015A,Nitzschia dissipata,12,186
R,1554719,122534,11/05/2010,SU073A,Surirella brebissonii,9,186
R,1554719,122534,11/05/2010,NI010A,Nitzschia communis,1,186
R,1554719,122534,11/05/2010,NA084A,Navicula atomus,48,186
R,1554719,122534,11/05/2010,ACHD-02,Achnanthidium pyrenaicum,2,186
R,1554719,122534,11/05/2010,CO001A,Cocconeis placentula,15,186
R,1554719,122534,11/05/2010,CO005A,Cocconeis pediculus,1,186
R,1554719,122534,11/05/2010,GO013A,Gomphonema parvulum,3,186
R,1554719,122534,11/05/2010,GO066A,Gomphonema tergestinum,2,186
R,1554719,122534,11/05/2010,SY001A,Synedra ulna,29,186
R,1554719,122534,11/05/2010,NI9999,Nitzschia sp.,4,186
R,1554719,122534,11/05/2010,DT003A,Diatoma vulgare,1,186
R,1554798,123096,21/05/2010,NA023A,Navicula gregaria,80,71
R,1554798,123096,21/05/2010,MR001A,Meridion circulare,18,71
R,1554798,123096,21/05/2010,FR009A,Fragilaria capucina,4,71
R,1554798,123096,21/05/2010,NA009A,Navicula lanceolata,41,71
R,1554798,123096,21/05/2010,NI042A,Nitzschia acicularis,4,71
R,1554798,123096,21/05/2010,EY011A,Encyonema minutum,8,71
R,1554798,123096,21/05/2010,SU073A,Surirella brebissonii,3,71
R,1554798,123096,21/05/2010,CY9999,Cyclotella sp.,5,71
R,1554798,123096,21/05/2010,GO9999,Gomphonema sp.,1,71
R,1554798,123096,21/05/2010,LU002A,Luticola cohnii,2,71
R,1554798,123096,21/05/2010,CO001B,Cocconeis placentula var. euglypta,1,71
R,1554798,123096,21/05/2010,SU005A,Surirella linearis,1,71
R,1554798,123096,21/05/2010,NI009A,Nitzschia palea,4,71
R,1554798,123096,21/05/2010,SY001A,Synedra ulna,4,71
R,1554798,123096,21/05/2010,NI9999,Nitzschia sp.,7,71
R,1554798,123096,21/05/2010,DT021A,Diatoma mesodon,1,71
R,1554798,123096,21/05/2010,ZZZ986,Cocconeis placentula var. pseudolineata,1,71
R,1554798,123096,21/05/2010,NA095A,Navicula tripunctata,1,71
R,1554798,123096,21/05/2010,AC143A,Achnanthes oblongella,6,71
R,1554798,123096,21/05/2010,AM012A,Amphora pediculus,9,71
R,1554798,123096,21/05/2010,FR009H,Fragilaria capucina var. gracilis,1,71
R,1554798,123096,21/05/2010,RE001A,Reimeria sinuata,12,71
R,1554798,123096,21/05/2010,FR045A,Fragilaria parasitica,1,71
R,1554798,123096,21/05/2010,TA001A,Tabellaria flocculosa,1,71
R,1554798,123096,21/05/2010,GO013A,Gomphonema parvulum,2,71
R,1554798,123096,21/05/2010,NI015A,Nitzschia dissipata,4,71
R,1554798,123096,21/05/2010,ME015A,Melosira varians,9,71
R,1554798,123096,21/05/2010,EY016A,Encyonema silesiacum,5,71
R,1554798,123096,21/05/2010,NI028A,Nitzschia capitellata,1,71
R,1554798,123096,21/05/2010,AC001R,Achnanthes lanceolata subsp. frequentissima,11,71
R,1554798,123096,21/05/2010,FR026A,Fragilaria bidens,3,71
R,1554798,123096,21/05/2010,NA617A,Navicula saprophila,13,71
R,1554798,123096,21/05/2010,ZZZ835,Achnanthidium minutissimum type,123,71
R,1555210,205682,21/04/2010,NA009A,Navicula lanceolata,27,59
R,1555210,205682,21/04/2010,GO003A,Gomphonema angustatum,5,59
R,1555210,205682,21/04/2010,NA084A,Navicula atomus,68,59
R,1555210,205682,21/04/2010,ZZZ982,Navicula claytonii,156,59
R,1555210,205682,21/04/2010,NA023A,Navicula gregaria,10,59
R,1555210,205682,21/04/2010,MR001B,Meridion circulare var. constrictum,5,59
R,1555210,205682,21/04/2010,ZZZ959,Achnanthidium minutissimum,55,59
R,1555210,205682,21/04/2010,FR007A,Fragilaria vaucheriae,2,59
R,1555210,205682,21/04/2010,GO052A,Gomphonema olivaceoides,23,59
R,1555210,205682,21/04/2010,NI009A,Nitzschia palea,5,59
R,1555210,205682,21/04/2010,NA042A,Navicula minima,3,59
R,1555210,205682,21/04/2010,NI015A,Nitzschia dissipata,2,59
R,1555210,205682,21/04/2010,GO013A,Gomphonema parvulum,2,59
R,1555210,205682,21/04/2010,GO013C,Gomphonema parvulum var. exilissimum,4,59
R,1555210,205682,21/04/2010,AM012A,Amphora pediculus,1,59
R,1555210,205682,21/04/2010,EY011A,Encyonema minutum,1,59
R,1555210,205682,21/04/2010,ZZZ921,Psammothidium sp.,1,59
R,1555210,205682,21/04/2010,SU073A,Surirella brebissonii,6,59
R,1555210,205682,21/04/2010,RE001A,Reimeria sinuata,2,59
R,1555210,205682,21/04/2010,ZZZ897,Planothidium lanceolatum,2,59
R,1555241,232926,12/05/2010,NA023A,Navicula gregaria,6,37
R,1555241,232926,12/05/2010,FR026A,Fragilaria bidens,1,37
R,1555241,232926,12/05/2010,RE001A,Reimeria sinuata,9,37
R,1555241,232926,12/05/2010,GO052A,Gomphonema olivaceoides,7,37
R,1555241,232926,12/05/2010,NA008A,Navicula rhynchocephala,1,37
R,1555241,232926,12/05/2010,NI048A,Nitzschia tubicola,1,37
R,1555241,232926,12/05/2010,NA617A,Navicula saprophila,293,37
R,1555241,232926,12/05/2010,GO013C,Gomphonema parvulum var. exilissimum,1,37
R,1555241,232926,12/05/2010,NA042A,Navicula minima,3,37
R,1555241,232926,12/05/2010,ZZZ959,Achnanthidium minutissimum,4,37
R,1555241,232926,12/05/2010,SU073A,Surirella brebissonii,1,37
R,1555241,232926,12/05/2010,ZZZ982,Navicula claytonii,13,37
R,1555241,232926,12/05/2010,NA009A,Navicula lanceolata,7,37
R,1555482,9540,23/04/2010,AC013A,Achnanthes minutissima,7,44
R,1555482,9540,23/04/2010,CO001B,Cocconeis placentula var. euglypta,2,44
R,1555482,9540,23/04/2010,RE001A,Reimeria sinuata,86,44
R,1555482,9540,23/04/2010,CI002A,Craticula accomoda,1,44
R,1555482,9540,23/04/2010,NI043A,Nitzschia inconspicua,1,44
R,1555482,9540,23/04/2010,FR009H,Fragilaria capucina var. gracilis,1,44
R,1555482,9540,23/04/2010,FR009A,Fragilaria capucina,2,44
R,1555482,9540,23/04/2010,FR007A,Fragilaria vaucheriae,5,44
R,1555482,9540,23/04/2010,GO080A,Gomphonema pumilum,10,44
R,1555482,9540,23/04/2010,NA023A,Navicula gregaria,28,44
R,1555482,9540,23/04/2010,GO052A,Gomphonema olivaceoides,11,44
R,1555482,9540,23/04/2010,HN001A,Hannaea arcus,6,44
R,1555482,9540,23/04/2010,DT022A,Diatoma moniliformis,2,44
R,1555482,9540,23/04/2010,RC002A,Rhoicosphenia abbreviata,1,44
R,1555482,9540,23/04/2010,MR001A,Meridion circulare,3,44
R,1555482,9540,23/04/2010,ME015A,Melosira varians,1,44
R,1555482,9540,23/04/2010,ZZZ897,Planothidium lanceolatum,6,44
R,1555482,9540,23/04/2010,NA617A,Navicula saprophila,10,44
R,1555482,9540,23/04/2010,ZZZ982,Navicula claytonii,7,44
R,1555482,9540,23/04/2010,CO001C,Cocconeis placentula var. lineata,39,44
R,1555482,9540,23/04/2010,ZZZ896,Planothidium frequentissimum,2,44
R,1555482,9540,23/04/2010,ZZZ911,Achnanthidium subatomus,2,44
R,1555482,9540,23/04/2010,AM012A,Amphora pediculus,7,44
R,1555482,9540,23/04/2010,NA009A,Navicula lanceolata,7,44
R,1555482,9540,23/04/2010,GO001A,Gomphonema olivaceum,7,44
R,1555482,9540,23/04/2010,ZZZ959,Achnanthidium minutissimum,44,44
R,1555482,9540,23/04/2010,EY011A,Encyonema minutum,1,44
R,1555482,9540,23/04/2010,ZZZ986,Cocconeis placentula var. pseudolineata,11,44
R,1555591,206845,03/05/2010,PE002A,Peronia fibula,2,6
R,1555591,206845,03/05/2010,FR007A,Fragilaria vaucheriae,1,6
R,1555591,206845,03/05/2010,TA001A,Tabellaria flocculosa,24,6
R,1555591,206845,03/05/2010,ZZZ835,Achnanthidium minutissimum type,102,6
R,1555591,206845,03/05/2010,BR010A,Brachysira neoexilis,3,6
R,1555591,206845,03/05/2010,FR009A,Fragilaria capucina,1,6
R,1555591,206845,03/05/2010,FU027A,Frustulia saxonica,15,6
R,1555591,206845,03/05/2010,FR009L,Fragilaria capucina var. amphicephala,1,6
R,1555591,206845,03/05/2010,GO080A,Gomphonema pumilum,13,6
R,1555591,206845,03/05/2010,BR9999,Brachysira sp.,3,6
R,1555591,206845,03/05/2010,BR001A,Brachysira vitrea,13,6
R,1555591,206845,03/05/2010,RC002A,Rhoicosphenia abbreviata,21,6
R,1555591,206845,03/05/2010,ZZZ921,Psammothidium sp.,1,6
R,1555591,206845,03/05/2010,EU070A,Eunotia bilunaris,149,6
R,1555591,206845,03/05/2010,EU002A,Eunotia pectinalis,2,6
R,1555596,207298,18/05/2010,ZZZ835,Achnanthidium minutissimum type,29,4
R,1555596,207298,18/05/2010,PE002A,Peronia fibula,23,4
R,1555596,207298,18/05/2010,EU9999,Eunotia sp.,1,4
R,1555596,207298,18/05/2010,EU070A,Eunotia bilunaris,35,4
R,1555596,207298,18/05/2010,FR009I,Fragilaria capucina var. austriaca,16,4
R,1555596,207298,18/05/2010,CM004A,Cymbella microcephala,10,4
R,1555596,207298,18/05/2010,TA001A,Tabellaria flocculosa,52,4
R,1555596,207298,18/05/2010,EU107A,Eunotia implicata,2,4
R,1555596,207298,18/05/2010,CM018A,Cymbella gracilis,5,4
R,1555596,207298,18/05/2010,SY009A,Synedra nana,23,4
R,1555596,207298,18/05/2010,NI008A,Nitzschia frustulum,1,4
R,1555596,207298,18/05/2010,NI002A,Nitzschia fonticola,1,4
R,1555596,207298,18/05/2010,ZZZ835,Achnanthidium minutissimum type,16,4
R,1555596,207298,18/05/2010,BR9999,Brachysira sp.,94,4
R,1555596,207298,18/05/2010,BR001A,Brachysira vitrea,1,4
R,1555596,207298,18/05/2010,NI043A,Nitzschia inconspicua,1,4
R,1555596,207298,18/05/2010,FU002A,Frustulia rhomboides,11,4
R,1556076,122721,16/04/2010,CO001A,Cocconeis placentula,1,6
R,1556076,122721,16/04/2010,FU002A,Frustulia rhomboides,1,6
R,1556076,122721,16/04/2010,NA009A,Navicula lanceolata,1,6
R,1556076,122721,16/04/2010,ACHD-02,Achnanthidium pyrenaicum,9,6
R,1556076,122721,16/04/2010,GO013A,Gomphonema parvulum,5,6
R,1556076,122721,16/04/2010,FR007A,Fragilaria vaucheriae,4,6
R,1556076,122721,16/04/2010,MR001A,Meridion circulare,2,6
R,1556076,122721,16/04/2010,BR010A,Brachysira neoexilis,1,6
R,1556076,122721,16/04/2010,HN001A,Hannaea arcus,1,6
R,1556076,122721,16/04/2010,EU009A,Eunotia exigua,1,6
R,1556076,122721,16/04/2010,DT022A,Diatoma moniliformis,9,6
R,1556076,122721,16/04/2010,NA023A,Navicula gregaria,1,6
R,1556076,122721,16/04/2010,AC143A,Achnanthes oblongella,1,6
R,1556076,122721,16/04/2010,ZZZ959,Achnanthidium minutissimum,26,6
R,1556076,122721,16/04/2010,FR009A,Fragilaria capucina,7,6
R,1556076,122721,16/04/2010,RE001A,Reimeria sinuata,1,6
R,1556076,122721,16/04/2010,RC002A,Rhoicosphenia abbreviata,2,6
R,1556076,122721,16/04/2010,TA001A,Tabellaria flocculosa,35,6
R,1556076,122721,16/04/2010,HA001A,Hantzschia amphioxys,2,6
R,1556193,122469,17/05/2010,GO066A,Gomphonema tergestinum,4,64
R,1556193,122469,17/05/2010,NI065A,Nitzschia archibaldii,1,64
R,1556193,122469,17/05/2010,NA009A,Navicula lanceolata,12,64
R,1556193,122469,17/05/2010,SU073A,Surirella brebissonii,4,64
R,1556193,122469,17/05/2010,EY016A,Encyonema silesiacum,1,64
R,1556193,122469,17/05/2010,ZZZ982,Navicula claytonii,3,64
R,1556193,122469,17/05/2010,FR007A,Fragilaria vaucheriae,1,64
R,1556193,122469,17/05/2010,FR009A,Fragilaria capucina,1,64
R,1556193,122469,17/05/2010,GO052A,Gomphonema olivaceoides,15,64
R,1556193,122469,17/05/2010,NI152A,Nitzschia pusilla,2,64
R,1556193,122469,17/05/2010,GO013A,Gomphonema parvulum,2,64
R,1556193,122469,17/05/2010,NA617A,Navicula saprophila,173,64
R,1556193,122469,17/05/2010,CO001B,Cocconeis placentula var. euglypta,3,64
R,1556193,122469,17/05/2010,CO001C,Cocconeis placentula var. lineata,1,64
R,1556193,122469,17/05/2010,ZZZ911,Achnanthidium subatomus,2,64
R,1556193,122469,17/05/2010,NA751A,Navicula cryptotenella,1,64
